id,name,birthdate,country,atp_rank,points,hard_points,clay_points,grass_points
113874,Joao Antonio/Ricardo Moreira,,N/A,,,,,
113875,David Fix/Liam Gavrielides,,N/A,,,,,
113876,Jesse De Jager/Daniel De Jonge,,N/A,,,,,
113877,Henry Jelen/Noah Meister,,N/A,,,,,
113878,Julian Einhoff/Tom-Felix Fusenig,,N/A,,,,,
113879,Felix Einig/Lorenz Unkel,,N/A,,,,,
113880,Alex Finkelstein/Chen-Yang Hsu,,N/A,,,,,
113881,Axel Cabrera/Oscar Galimardanov,,N/A,,,,,
113882,Juan Pablo Jaramillo/Benjamin Zuniga Garcia,,N/A,,,,,
113883,Corentin Denolly/Amaury Raynel,,N/A,,,,,
113884,Alexey Aleshchev/Ricardo Batista,,N/A,,,,,
113885,Fabrizio Andaloro/Boris Butulija,,N/A,,,,,
113886,Timothy Gray/Richard Zusman,,N/A,,,,,
113887,Evan Bynoe/Maxwell Mckennon,,N/A,,,,,
113888,Alex Knaff/Dhruva Mulye,,N/A,,,,,
113889,Ethan Cook/Afonso Portugal,,N/A,,,,,
113890,Pedro Araujo/Tiago Silva,,N/A,,,,,
113891,Alberto Barroso Campos/Alexander Bravo,,N/A,,,,,
113892,Mateusz Kulakowski/Przemyslaw Michocki,,N/A,,,,,
113893,Erik Grevelius/Louis Wessels,,N/A,,,,,
113894,Dusan Baranec/Oleksii Krutykh,,N/A,,,,,
113895,Hynek Barton/Olaf Pieczkowski,,N/A,,,,,
113896,Alan Bojarski/Jakub Hrynkiewicz,,N/A,,,,,
113897,Sergey Fomin/Jasza Szajrych,,N/A,,,,,
113898,Tomasz Berkieta/Mateusz Lange,,N/A,,,,,
113899,Mikolaj Kowal/Daniel Michalski,,N/A,,,,,
113900,Federico Bondioli/Vladimir Uzhylovsky,,N/A,,,,,
113901,Constantin Bittoun Kouzmine/Paulo Saraiva Dos Santos,,N/A,,,,,
113902,Charles Dossetter/Kristjan Tamm,,N/A,,,,,
113903,Eric Hadigian/Stefan Menichella,,N/A,,,,,
113904,Rayen Hermassi/Ahmed Mouhan,,N/A,,,,,
113905,Igor Kachushkin/Victor Kuznetsov,,N/A,,,,,
113906,Ali Habib/Nikita Ianin,,N/A,,,,,
113907,Majdi Ben Abdelwehid/Anas Bennour Dit Sahli,,N/A,,,,,
113908,William Hsieh/Daniels Tens,,N/A,,,,,
113909,Aliaksandr Liaonenka/Ruslan Tiukaev,,N/A,,,,,
113910,Gonzalo Ariel Karakachian/Breno Rossetto Urvaneja,,N/A,,,,,
113911,Josue Guzman/Luis Jose Nakamine,,N/A,,,,,
113912,Vicente Monge/Rodrigo Varillas,,N/A,,,,,
113913,Mateo Barreiros Reyes/Nicolas Buitrago,,N/A,,,,,
113914,Alberto Alvarado Berrospi/Salvador Price,,N/A,,,,,
113915,Mateo Berta/Guido Ivan Justo,,N/A,,,,,
113916,Juan Sebastian Osorio/Johan Alexander Rodriguez,,N/A,,,,,
113917,Nicolas Hollender/Bautista Vilicich,,N/A,,,,,
113918,Jerry Christopher Brow Salinas/Facundo Dadino,,N/A,,,,,
113919,Roberto Cid Subervi/Justin Roberts,,N/A,,,,,
113920,Gabriel Batagin/Francisco Kiko Caetano,,N/A,,,,,
113921,Joaquim Almeida/Natan Rodrigues,,N/A,,,,,
113922,Luis Queiroz Miguel/Rafael Tosetto,,N/A,,,,,
113923,Ronaldo Alexandre/Eduardo Lima,,N/A,,,,,
113924,Ryan Augusto dos Santos/Christian Oliveira,,N/A,,,,,
113925,Thiago Guglieri/Enzo Kohlmann De Freitas,,N/A,,,,,
113926,Luka Bojicic Ono/Gabriel Schenekenberg,,N/A,,,,,
113927,Enrique Bogo/Aryan Lakshmanan,,N/A,,,,,
113928,Gregorio Biondolillo/Alessio Demichelis,,N/A,,,,,
113929,Pietro Pampanin/Rocco Piatti,,N/A,,,,,
113930,Alessio De Bernardis/Manuel Plunger,,N/A,,,,,
113931,Stefano Reitano/Joao Eduardo Schiessl,,N/A,,,,,
113932,Niccolo Ciavarella/Marco Furlanetto,,N/A,,,,,
113933,Marco Bella/Giacomo Crisostomo,,N/A,,,,,
113934,Lorenzo Carboni/Federico Valle,,N/A,,,,,
113935,Giovanni Boi/Juan Cruz Martin Manzano,,N/A,,,,,
113936,Federico Campana/Niccolo Catini,,N/A,,,,,
113937,Daniele Augenti/Enrico Baldisserri,,N/A,,,,,
113938,Aydan Gomez Osorio/Joris Hoogland,,N/A,,,,,
113939,Thiago Cigarran/Genaro Alberto Olivieri,,N/A,,,,,
113940,Gianfranco Kuong/Sebastian Rodriguez,,N/A,,,,,
113941,Tristan Lamasine/Dalibor Svrcina,,N/A,,,,,
113942,Kaichi Uchida/Takeru Yuzuki,,N/A,,,,,
113943,Evgeny Donskoy/Evgeny Karlovskiy,,N/A,,,,,
113944,Rio Noguchi/Seita Watanabe,,N/A,,,,,
113945,Vlad Victor Cornea/Denys Molchanov,,N/A,,,,,
113946,Remy Bertola/Samuel Vincent Ruggeri,,N/A,,,,,
113947,Gabriel Debru/Vitaliy Sachko,,N/A,,,,,
113948,Gustavo Heide/Matheus Pucinelli De Almeida,,N/A,,,,,
113949,Giovanni Oradini/Stefano Travaglia,,N/A,,,,,
113950,Filip Cristian Jianu/Vladimir Uzhylovsky,,N/A,,,,,
113951,Carlos Lopez Montagud/Jelle Sels,,N/A,,,,,
113952,Jacopo Bilardo/Gabriele Vulpitta,,N/A,,,,,
113953,Johannes Ingildsen/David Stevenson,,N/A,,,,,
113954,Mircea-Alexandru Jecan/Ivan Liutarevich,,N/A,,,,,
113955,Jia Hu,2009-05-16,CHN,,,,,
113956,Romain Arneodo/Theo Arribage,,N/A,,,,,
113957,Rodrigo Cruz/Francisco Rocha,,N/A,,,,,
113958,Daniel Masur/Marvin Moeller,,N/A,,,,,
113959,Sebastian Fanselow/Pedro Sakamoto,,N/A,,,,,
113960,Mats Hermans/Bruno Pujol Navarro,,N/A,,,,,
113961,David Jorda Sanchis/Ergi Kirkin,,N/A,,,,,
113962,James Davis/Scott Duncan,,N/A,,,,,
113963,Daniel Cukierman/Piotr Matuszewski,,N/A,,,,,
113964,Tom Clivaz,2007-02-15,SUI,,,,,
113965,Luca Pannatier,2005-12-16,SUI,,,,,
113966,Baptiste Ebener,2006-05-29,SUI,,,,,
113967,Bence Boros,2007-04-28,HUN,,,,,
113968,Alexander Watts,2000-10-05,GBR,,,,,
113969,Philip Niederle,2008-10-10,AUT,,,,,
113970,Nikolas Simonovic,2007-02-06,AUT,,,,,
113971,Yannick Maruska,2006-11-22,AUT,,,,,
113972,Lukas Radner,2004-03-20,AUT,,,,,
113973,Marcel Jelinek,2010-08-16,AUT,,,,,
113974,Maximilian Faber,2006-08-10,AUT,,,,,
113975,Nyoman Suma Indrawan,1995-06-24,INA,,,,,
113976,Jaden Dewandaka Tan,2006-12-14,INA,,,,,
113977,Niels Van Der Sijs,2006-11-03,NED,,,,,
113978,Bas Bouwman,2005-12-23,NED,,,,,
113980,Victor Sjostrom,2004-08-31,SWE,,,,,
113981,Lucca Liu,2004-01-09,USA,,,,,
113982,Timothee Lustig,2007-04-08,FRA,,,,,
113983,Cristian Eduard Obretin,2006-07-31,ROU,,,,,
113984,Matei Belicciu,2005-11-16,ROU,,,,,
113985,Teodor Tarta Arsene,2008-06-17,ROU,,,,,
113986,Mihnea Preda,2005-08-01,ROU,,,,,
113988,Przemyslaw Nikolajuk,2006-03-14,POL,,,,,
113989,Hryhorii Isakov,2010-05-26,UKR,,,,,
113990,Kevin Pabisiak,2007-07-07,POL,,,,,
113991,Oliwier Sterniczuk,2007-12-08,POL,,,,,
113992,Rom Gonik,2005-03-18,ESP,,,,,
113993,Sander Sootla,2006-04-25,EST,,,,,
113994,Merijn Van Dorsten,2003-05-08,NED,,,,,
113995,Victor Lasheras,2006-09-20,ESP,,,,,
113996,Charles Broom/Marcus Willis,,N/A,,,,,
113997,Marek Gengel/Khumoun Sultanov,,N/A,,,,,
113998,Hazem Naw/Adolfo Daniel Vallejo,,N/A,,,,,
113999,Jerome Kym/Rudolf Molleker,,N/A,,,,,
114000,Anirudh Chandrasekar/David Vega Hernandez,,N/A,,,,,
114001,Zvonimir Babic/August Holmgren,,N/A,,,,,
114002,Aaron Yu,2005-12-07,HKG,,,,,
114003,Bekzod Nematov,2005-11-24,UZB,,,,,
114004,Amir Asylkozhaev,2006-04-06,RUS,,,,,
114005,Damir Abdusamadov,2006-10-20,UZB,,,,,
114006,Marco Caporali,2007-07-27,ITA,,,,,
114007,Rafael Capacci,2007-11-27,ITA,,,,,
114008,Alexander Erler/Matwe Middelkoop,,N/A,,,,,
114009,Lloyd Glasspool/Rinky Hijikata,,N/A,,,,,
114010,Mitchell Krueger/Reese Stalder,,N/A,,,,,
114011,Flavio Cobolli/Dominic Stricker,,N/A,,,,,
114012,Soon-Woo Kwon/Denis Shapovalov,,N/A,,,,,
114013,Hugo Gaston/Gregoire Jacq,,N/A,,,,,
114014,Guido Andreozzi/N.Sriram Balaji,,N/A,,,,,
114015,Tristan Boyer/Emilio Nava,,N/A,,,,,
114016,Nikita Filin/Alexander Razeghi,,N/A,,,,,
114017,Thiago Moura Monteiro/Mariano Navone,,N/A,,,,,
114018,Nicolas Jarry/Cristian Rodriguez,,N/A,,,,,
114019,Sumit Nagal/Yoshihito Nishioka,,N/A,,,,,
114020,Pavel Kotov/Thiago Seyboth Wild,,N/A,,,,,
114021,Siu Chi Nicholas Cheng,2008-03-21,HKG,,,,,
114022,Gabriel Diaz Freire/Sergi Perez Contri,,N/A,,,,,
114023,Alex Martinez Sanz/Nico Rating,,N/A,,,,,
114024,Alvaro Bueno Gil/Tomas Curras Abasolo,,N/A,,,,,
114025,Francisco Marti Oriihuel/Samuel Martinez Arjona,,N/A,,,,,
114026,Pablo Prieto Pelaez,2008-09-17,ESP,,,,,
114027,Dario Carballal Figaredo/Pablo Prieto Pelaez,,N/A,,,,,
114028,Cleeve Harper/Pablo Masjuan Ginel,,N/A,,,,,
114029,Mickael Kaouk,2008-08-25,FRA,,,,,
114030,Teerapat Khantiweerawat/Tanakorn Srirat,,N/A,,,,,
114031,Abraham Asaba/Leo Vithoontien,,N/A,,,,,
114032,Yunseok Jang/Pengyu Lu,,N/A,,,,,
114033,Natthayut Nithithananont/Chanon Phunsawat,,N/A,,,,,
114034,Cheng-Peng Hsieh/Zheng Baoluo,,N/A,,,,,
114035,Nick Chappell/Nitin Kumar Sinha,,N/A,,,,,
114036,Tsung-Hao Huang/Woobin Shin,,N/A,,,,,
114037,Ki Lung Ng/Renlong Pang,,N/A,,,,,
114038,Jack Cheng/Tsz Fu Wong,,N/A,,,,,
114039,Chun Hun Wong/Zijiang Yang,,N/A,,,,,
114040,Yuta Kikuchi/Hien Pham,,N/A,,,,,
114041,Raphael Calzi/Aaron Gil Garcia,,N/A,,,,,
114042,Xing Dao Chen/Wenfu Li,,N/A,,,,,
114043,Arthur Weber/Man Ho Yap,,N/A,,,,,
114044,Goncalo Oliveira/Brandon Perez,,N/A,,,,,
114045,Luca Castelnuovo/Stefanos Sakellaridis,,N/A,,,,,
114046,Andrea Bacaloni/Dylan Salton,,N/A,,,,,
114047,Enzo Aguiard/James Watt,,N/A,,,,,
114048,Ying-Ze Chen/Sam Ryan Ziegann,,N/A,,,,,
114049,William Mroz/Tanguy Genier,,N/A,,,,,
114050,Moerani Bouzige/Shintaro Imai,,N/A,,,,,
114051,Reece Falck/Alexander Klintcharov,,N/A,,,,,
114052,Max Basing/Fitriadi M Rifqi,,N/A,,,,,
114053,Jeffrey Hsu/Bingyu Yu,,N/A,,,,,
114054,Riku Kato,2008-08-13,HKG,,,,,
114055,Petr Bar Biryukov/Grigoriy Lomakin,,N/A,,,,,
114056,Seydina Andre/Romain Faucon,,N/A,,,,,
114057,Parth Aggarwal/Edison Ambarzumjan,,N/A,,,,,
114058,Ivan Denisov/Ruslan Tiukaev,,N/A,,,,,
114059,Yuichiro Inui/Taiyo Yamanaka,,N/A,,,,,
114060,Nikita Ianin/Aristarkh Safonov,,N/A,,,,,
114061,Alexandr Binda/Maksim Shin,,N/A,,,,,
114062,Kazuma Kawachi/Rishi Reddy,,N/A,,,,,
114063,Damir Abdusamadov/Amir Milushev,,N/A,,,,,
114064,Rakhimbek Ibrakhimov/Fayzullo Mirzaganiyev,,N/A,,,,,
114065,Dev Javia/Aryan Shah,,N/A,,,,,
114066,Luc Wieland,2006-09-20,SUI,,,,,
114067,Thomas Gerbaud/Kalomm Panzo,,N/A,,,,,
114068,Ilan Hediger/Nicolas Ulrich,,N/A,,,,,
114069,Enrico Baldisserri/Giacomo Crisostomo,,N/A,,,,,
114070,Davide Cortimiglia/Ezequiel Fagotti,,N/A,,,,,
114071,Henry Barrett/Kyle Overmyer,,N/A,,,,,
114072,Andrin Casanova/Filippo Romano,,N/A,,,,,
114073,Mark Burgos/Luca Pannatier,,N/A,,,,,
114074,Nicholas Bybel/Joao Eduardo Schiessl,,N/A,,,,,
114075,Arthur Laborde/Louroi Martinez,,N/A,,,,,
114076,Timeo Gaillard/Janis Raffael Simmen,,N/A,,,,,
114077,Jerko Brkic/Duje Markovina,,N/A,,,,,
114078,Gabriel Alejandro Hidalgo/Pedro Iamachkine,,N/A,,,,,
114079,Benjamin Belis/Miha Vetrih,,N/A,,,,,
114080,Edoardo Lodovico Cattaneo/Marco Franzini,,N/A,,,,,
114081,Jan Dimitrijevic/Vaal Urankar,,N/A,,,,,
114082,Bence Kutasi/Noel Pall,,N/A,,,,,
114083,Timothy Gray/Peter Sallay,,N/A,,,,,
114084,Tamas Belafalvi-Balint/Tyler Stice,,N/A,,,,,
114085,Patrick Kaukovalta/Maxwell Mckennon,,N/A,,,,,
114086,Alexey Aleshchev/Aurel Ciocanu,,N/A,,,,,
114087,Kornel Halmos/Adam Gabor Szoke,,N/A,,,,,
114088,Stefan Cooper/Joe Tyler,,N/A,,,,,
114089,Michele Ribecai/Leonardo Rossi,,N/A,,,,,
114090,Joel Mark Gibson/Anton Matusevich,,N/A,,,,,
114091,Leo Gutjahr/Yanick Schneider,,N/A,,,,,
114092,Peter Heller/Maximilian Neuchrist,,N/A,,,,,
114093,Syl Gaxherri/Manuel Lazic,,N/A,,,,,
114094,Trisztan Gubi/Barnabas Sift,,N/A,,,,,
114095,Marcel Jelinek/Patrick Jozwicki,,N/A,,,,,
114096,Sebastian Pino/Justin Schlageter,,N/A,,,,,
114097,Nico Hipfl/Neil Oberleitner,,N/A,,,,,
114098,Niklas Schell/Louis Wessels,,N/A,,,,,
114099,Elgin Khoeblal/Sidane Pontjodikromo,,N/A,,,,,
114100,Manvydas Balciunas/Rein Koenders,,N/A,,,,,
114101,Eric Vanshelboim/Mark Whitehouse,,N/A,,,,,
114102,Alec Beckley/Amaury Raynel,,N/A,,,,,
114103,Abel Forger/Daniel Verbeek,,N/A,,,,,
114104,Bobbie De Goeijen/Lars Wagenaar,,N/A,,,,,
114105,Guy Den Heijer/Mike Luttikhuis,,N/A,,,,,
114106,Rik Muller/Niels Visker,,N/A,,,,,
114107,Alexander Petrov/Stefan Vujic,,N/A,,,,,
114108,Nikola Slavic/Mateya Stanisavljevic,,N/A,,,,,
114109,Stefan Kostic/Lazar Vojinovic,,N/A,,,,,
114110,Artur Kukasian/Kristian Tumbas Kajgo,,N/A,,,,,
114111,Younes Lalami Laaroussi/Hernan Oivas Quiroz,,N/A,,,,,
114112,Andrej Nedic/Vladan Tadic,,N/A,,,,,
114113,Tom Gonindard/Maximo Nagele,,N/A,,,,,
114114,Patrick Foley/Ying Hou,,N/A,,,,,
114115,Arthur Bonnaud/Rayane Oumaouche,,N/A,,,,,
114116,Clement Lemire/Solal Pont,,N/A,,,,,
114117,Lucas Bazin/Emiliano Jorquera,,N/A,,,,,
114118,Lucca Liu/Avi Shugar,,N/A,,,,,
114119,Charlie Camus/Lucas Marionneau,,N/A,,,,,
114120,Dragos Nicolae Cazacu/Thiago Cigarran,,N/A,,,,,
114121,Stefan Adrian Andreescu/Filip Gabriel Bara,,N/A,,,,,
114122,Jeremy Gschwendtner/Dan Martin,,N/A,,,,,
114123,Bogdan Pavel/Daniel Uta,,N/A,,,,,
114124,Mihai Alexandru Coman/Mathys Erhard,,N/A,,,,,
114125,Sven Corbinais/Nicolas Ifi,,N/A,,,,,
114126,Rares Andrei Golescu/Cezar Gabriel Papoe,,N/A,,,,,
114127,Francesco Mineo/Gilberto Ravasio,,N/A,,,,,
114128,Patrick Grigoriu/Mihai Razvan Marinescu,,N/A,,,,,
114129,Matyas Cerny/Karol Filar,,N/A,,,,,
114130,Mikolaj Kowal/Przemyslaw Michocki,,N/A,,,,,
114131,Jakub Hrynkiewicz/Bruno Kokot,,N/A,,,,,
114132,Alan Bojarski/Jasza Szajrych,,N/A,,,,,
114133,Filip Kosinski/Olaf Pieczkowski,,N/A,,,,,
114134,David Eichenseher/Jonas Kucera,,N/A,,,,,
114135,Vesa Ahti/Emil Rast,,N/A,,,,,
114136,Jakub Filip/Daniel Paty,,N/A,,,,,
114137,Niccolo Catini/Lorenzo Sciahbasi,,N/A,,,,,
114138,Lorenzo Bocchi/Alessio De Bernardis,,N/A,,,,,
114139,Massimo Pizzigoni/Samuele Seghetti,,N/A,,,,,
114140,Ezequiel Simonit/Luigi Sorrentino,,N/A,,,,,
114141,Mattia Ricci/Ludovico Vaccari,,N/A,,,,,
114142,Christian Capacci/Rafael Capacci,,N/A,,,,,
114143,Pierluigi Basile/Filip Peliwo,,N/A,,,,,
114144,Carlo Alberto Caniato/Leonardo Cattaneo,,N/A,,,,,
114145,Marco Caporali/Pietro Ricci,,N/A,,,,,
114146,Federico Marchetti/Luca Parenti,,N/A,,,,,
114147,Matteo Vavassori/Edoardo Zanada,,N/A,,,,,
114148,Luca Fantini/Noah Perfetti,,N/A,,,,,
114149,Maximus Jones/Aziz Ouakaa,,N/A,,,,,
114150,Nino Ehrenschneider/William Hsieh,,N/A,,,,,
114151,James Story/Siem Woldeab,,N/A,,,,,
114152,Giovanni Agostinetto/Nicolas Philibert,,N/A,,,,,
114153,Cristian Campese/Luca Giacomini,,N/A,,,,,
114154,Rom Gonik/Riku Kato,,N/A,,,,,
114155,Milledge Cossu/Mohamed Nazim Makhlouf,,N/A,,,,,
114156,Charles Dossetter/Yassine Smiej,,N/A,,,,,
114157,Tsihon Fedorov/Aliaksandr Liaonenka,,N/A,,,,,
114158,Imran Sibille/Dorian Tremblay,,N/A,,,,,
114159,Ignasi Forcano/Tommaso Schold,,N/A,,,,,
114160,Thomas Drayton/Ali Habib,,N/A,,,,,
114161,Mikalai Haliak/Lukas Pokorny,,N/A,,,,,
114162,Dmitry Popko/Alexander Weis,,N/A,,,,,
114163,Ghouse Ali Faisal/Maxim Krapivin,,N/A,,,,,
114164,Alexander Shevchenko/Tristan-Samuel Weissborn,,N/A,,,,,
114165,Ni Che Sun,2008-10-15,TPE,,,,,
114166,Ruslan Bikieiev,1976-12-30,UKR,,,,,
114167,Nattipong Boonyanittayasettapong,1995-05-26,THA,,,,,
114168,David Satchell,2000-03-09,GBR,,,,,
114169,Riku Ogasawara,2004-01-27,JPN,,,,,
114170,Takeshi Maruta,1996-09-11,JPN,,,,,
114171,Gregoire Delattre,2007-05-09,FRA,,,,,
114172,Nir Khasdan,2006-01-21,ISR,,,,,
114173,Artem Lyapshin,2006-03-09,GER,,,,,
114174,Mart De Lijster,2004-06-16,NED,,,,,
114175,Luka Nikolic,2008-01-31,FRA,,,,,
114176,Marko Simic,1998-09-28,SRB,,,,,
114177,Aleksa Velinovic,2006-03-28,SRB,,,,,
114178,Nikodije Trivunac,2006-08-12,ITA,,,,,
114179,Francesco Rastelli,2004-01-19,ITA,,,,,
114180,Cristobal Quevedo Brea,1999-09-22,ESP,,,,,
114181,Jack Secord,2008-09-11,USA,,,,,
114182,Noah Johnston,2007-11-21,USA,,,,,
114183,Gus Grumet,2007-11-30,USA,,,,,
114184,Benjamin Willwerth,2007-07-04,USA,,,,,
114185,Jacopo Vasami,2007-12-19,ITA,550,71,6,51,0
114186,Mouadh Dhaouadi,2007-01-28,TUN,,,,,
114187,Jiahao Kong,2005-11-15,CHN,,,,,
114188,Ivan Alvarez,2003-04-25,ARG,,,,,
114189,Richie Korpatsch,1997-10-15,GER,,,,,
114190,Cristian Rodriguez/Matthew Christopher Romios,,N/A,,,,,
114191,Marc Polmans/Reese Stalder,,N/A,,,,,
114192,Seongchan Hong/Markos Kalovelonis,,N/A,,,,,
114193,Federico Agustin Gomez/Nicolas Mejia,,N/A,,,,,
114194,Gerald Melzer/Lukas Neumayer,,N/A,,,,,
114195,Blaz Rola/Mohamed Safwat,,N/A,,,,,
114196,Rudolf Molleker/Alexey Vatutin,,N/A,,,,,
114197,Filip Cristian Jianu/Jakub Nicod,,N/A,,,,,
114198,Liam Broady/Henry Searle,,N/A,,,,,
114199,Constantin Bittoun Kouzmine/Augusto Virgili,,N/A,,,,,
114200,Robin Bertrand/Hazem Naw,,N/A,,,,,
114201,Antoine Escoffier/Luca Sanchez,,N/A,,,,,
114202,Siddhant Banthia/Bruno Pujol Navarro,,N/A,,,,,
114203,Fabien Salle/Adria Soriano Barrera,,N/A,,,,,
114204,Benjamin Hassan/David Vega Hernandez,,N/A,,,,,
114205,Federico Bondioli/Gianluca Cadenasso,,N/A,,,,,
114206,Corentin Denolly/Vladyslav Orlov,,N/A,,,,,
114207,Zvonimir Babic/Vladimir Uzhylovsky,,N/A,,,,,
114208,Stefano Napolitano/Francesco Passaro,,N/A,,,,,
114209,Denis Yevseyev/Elias Ymer,,N/A,,,,,
114210,Ivan Liutarevich/Marcus Willis,,N/A,,,,,
114211,Matej Dodig/Rodrigo Pacheco Mendez,,N/A,,,,,
114212,Martin Damm/Matej Vocel,,N/A,,,,,
114213,Cem Ilkel/S Mert Ozdemir,,N/A,,,,,
114214,Michael Geerts/Divij Sharan,,N/A,,,,,
114215,Alafia Ayeni/Saba Purtseladze,,N/A,,,,,
114216,Remy Bertola/Maxime Janvier,,N/A,,,,,
114217,George Goldhoff/Fernando Romboli,,N/A,,,,,
114218,Calvin Hemery/David Jorda Sanchis,,N/A,,,,,
114219,David Marrero/Inaki Montes-De La Torre,,N/A,,,,,
114220,Javier Barranco Cosano/Geoffrey Blancaneaux,,N/A,,,,,
114221,Tennyson Whiting/Benjamin Winter Lopez,,N/A,,,,,
114222,Enrico Dalla Valle/Pedro Sakamoto,,N/A,,,,,
114223,Luis Retuerta,2003-09-18,ESP,,,,,
114224,Renato Mathier,2006-08-26,ARG,,,,,
114225,Matteo Cardoso,2005-08-10,ARG,,,,,
114226,Pablo Mikito Mitoma,2007-02-04,JPN,,,,,
114227,Leonel Cesar Castro,2007-07-16,ARG,,,,,
114228,Yuki Mochizuki/Ko Suzuki,,N/A,,,,,
114229,Yuhei Kono/Shunsuke Nakagawa,,N/A,,,,,
114230,Jeffrey Fradkin/Hiroki Sakagawa,,N/A,,,,,
114231,Shinji Hazawa/Brandon Perez,,N/A,,,,,
114232,Taiki Hosokawa/Yusuke Yoshikawa,,N/A,,,,,
114233,Kaede Katayama/Daiki Yoshimura,,N/A,,,,,
114234,Sho Katayama/Yusuke Kusuhara,,N/A,,,,,
114235,Nick Chappell/Sai Karteek Reddy Ganta,,N/A,,,,,
114236,Tanakorn Srirat/Pannawat Suttisomboon,,N/A,,,,,
114237,Chinmaya Dev Chauhan/Thando Longwe-Smit,,N/A,,,,,
114238,Teerapat Khantiweerawat/Taentawan Taddeo Majoli Maggioli,,N/A,,,,,
114239,Thanapet Chanta/Pawit Sornlaksup,,N/A,,,,,
114240,Loic Namigandet Tenguere/Hugo Pierre,,N/A,,,,,
114241,Weitao Xu/Minghui Zhang,,N/A,,,,,
114242,Ying-Ze Chen/Wishaya Trongcharoenchaikul,,N/A,,,,,
114243,Luca Castelnuovo/Damien Wenger,,N/A,,,,,
114244,Andrew Fenty/Aldin Setkic,,N/A,,,,,
114245,Jeffrey Hsu/Duckhee Lee,,N/A,,,,,
114246,Max Basing/Andre Ilagan,,N/A,,,,,
114247,Anders Matta/Daniel Antonio Nunez,,N/A,,,,,
114248,Hong-Lin Fu/Corey Gaal,,N/A,,,,,
114249,Jay Clarke/Felix Mischker,,N/A,,,,,
114250,Mathieu Scaglia/James Watt,,N/A,,,,,
114251,Bogdan Bobrov/Stefanos Sakellaridis,,N/A,,,,,
114252,Alexandr Binda/Ivan Denisov,,N/A,,,,,
114253,Alexander Chepik/Nikita Ianin,,N/A,,,,,
114254,Kazuma Kawachi/Maksim Shin,,N/A,,,,,
114255,Rakhimbek Ibrakhimov/Bobur Madaminov,,N/A,,,,,
114256,Anton Chekhov/Ivan Fomin,,N/A,,,,,
114257,Sui Lun Wang/Aaron Yu,,N/A,,,,,
114258,Jack Cheng/Zijiang Yang,,N/A,,,,,
114259,Colin Sinclair/Antoine Voisin,,N/A,,,,,
114260,Gilles Kremer/Chun-Ming Yam,,N/A,,,,,
114261,Hien Pham/Linghao Zhang,,N/A,,,,,
114262,Seungmin Park/Jimmy Yang,,N/A,,,,,
114263,Ki Lung Ng/Tsz Fu Wong,,N/A,,,,,
114264,Dusan Bazdar,2007-10-14,SRB,,,,,
114265,Liam Hignett/Lucas Horve,,N/A,,,,,
114266,Romain Andres/Timeo Bretin,,N/A,,,,,
114267,Florent Bax/Marat Sharipov,,N/A,,,,,
114268,Alexis Gautier/Matt Ponchet,,N/A,,,,,
114269,Clement Chidekh/Jody Maginley,,N/A,,,,,
114270,Toprak Avcibasi/Mihai Alexandru Coman,,N/A,,,,,
114271,Tudor Stefan Gheorghita/Alexandru Luca,,N/A,,,,,
114272,Artem Lyapshin/Glauco Pinheiro Da Cruz Junior,,N/A,,,,,
114273,Stefan Adrian Andreescu/Rares Teodor Pieleanu,,N/A,,,,,
114274,Matei Florin Breazu/Mircea Mortasifu,,N/A,,,,,
114275,Gabriel Ghetu/Robert Guna,,N/A,,,,,
114276,Constantin Radu/Marcel Zielinski,,N/A,,,,,
114277,Finn Bass/Hamish Stewart,,N/A,,,,,
114278,Maxwell Mckennon/Tyler Stice,,N/A,,,,,
114279,Christos Antonopoulos/Aristotelis Thanos,,N/A,,,,,
114280,Illya Beloborodko/Matthew William Donald,,N/A,,,,,
114281,Alexander Brown/Evan Bynoe,,N/A,,,,,
114282,Trisztan Gubi/Noel Pall,,N/A,,,,,
114283,Mihail Ivanov/Alexander Petrov,,N/A,,,,,
114284,Stefan Latinovic/Vladan Tadic,,N/A,,,,,
114285,Gabriel Matuszewski/Stevan Popovic,,N/A,,,,,
114286,Santiago Russo/Mao Takada,,N/A,,,,,
114287,Demetris Azoides/Semen Pankin,,N/A,,,,,
114288,Strahinja Rakic/Luka Vukovic,,N/A,,,,,
114289,David Petrovic/Drazen Petrovic,,N/A,,,,,
114290,Alessandro Bellifemine/Saveliy Ivanov,,N/A,,,,,
114291,Dusan Bazdar/Haralampije Toskic,,N/A,,,,,
114292,Rafael Izquierdo Luque/Francisco Rocha,,N/A,,,,,
114293,Jorge Lopez Dominguez/Diego-Jose Manrique-Velazquez,,N/A,,,,,
114294,Pedro Iamachkine/Pavlos Tsitsipas,,N/A,,,,,
114295,David De Hoyos Rodriguez/Pelayo Rodriguez,,N/A,,,,,
114296,Santiago Plaza/Luis Retuerta,,N/A,,,,,
114297,Xiaoyao David Dai,2006-02-24,CHN,,,,,
114298,Guy Den Heijer/Niels Lootsma,,N/A,,,,,
114299,Alec Beckley/Roland Stuurman,,N/A,,,,,
114300,Abel Forger/Elgin Khoeblal,,N/A,,,,,
114301,Rob Van Den Berg/Arthur Van Der Kooij,,N/A,,,,,
114302,Rein Koenders/Yorrick Veldkamp,,N/A,,,,,
114303,Jim Hendrikx/Rik Muller,,N/A,,,,,
